Shuriken Tornado,III,I,Ultra Rare (Purple),Spinning Shuriken deals AOE Damage.,5 Foot Radius,Can be used once every 2 turns creates whirlwind of shuriken dealing damage every turn and eviscerating all enemies in a set area. 2 charges.
Daisho,I,I,Rare (Green),Dual Wielding Badass,,Gain the ability to hold two weapons at once. Wow! SO Badass!
Makibishi,I,I,Common (Grey),Caltrop,5 Foot Radius,Can be set on the ground and deal 2 damage to whoever walks over the space. Can be used multiple times.
Basic Amor,I,I,Common (Grey),Basic Amor,+1 AP,Tanks one hit. Breaks after use.
Kaginawa,II,I,Rare (Green),"Kagi meaning ""Hook"" and Nawa meaning ""Rope""",,Beginner's Grappling Hook capable of climbing building and pulling yourself to enemies.
Abumi,II,I,Ultra Rare (Purple),Baby's First Stirrups,,Grants the ability to ride on horseback in combat and in the daytime. Choose 1 Horse Companion.
Hata-jirushi,II,I,Ultra Rare (Purple),Basic War Banner,10 Foot Radius,Sets all allies in 10 foot radius to full health. Can be used once per night
Horagai,II,I,Rare (Green),Handheld Conch Shell Trumpet,,Can be used to reset enemies once per night.
Kusari,II,I,Rare (Green),Chain Armor,+2 AP,Tanks two hits. Breaks after use.
Kurata,II,I,Rare (Green),Samurai Armor Plate,+1 AP,Tanks one hit can be repaired.
Gappa,II,I,Common (Grey),Travel Cape,,Can be used to conceal movements in battle. 
Item Belt,II,I,Ultra Rare (Purple),Pouch Granting Item Space,+1 Item Slot.,NIL,
Hata-jirushi II,III,I,Acquired,Upgraded War Banner,10 Foot Radius,Sets all allies in radius to full health and creates orb of light that damages enemies in radius 1 HP per turn.
Upgraded Kaginawa,III,I,Ultra Rare (Purple),"Kagi meaning ""Hook"" and Nawa meaning ""Rope""",,Upgraded Grappling Hook capable of climbing buildings pulling enemies to you and connecting objects to one another.
Armor Plate,I,I,Common (Grey),Basic Armor,+1 AP,Tanks one hit. Breaks after Use.
Armor of the Golden Monkey,III,I,Ultra Rare (Purple),Armor of an Ancient Warrior knowledgable in the Way of the Golden Monkey.,+2 AP and +1 HP,Grants health along with armor a blessing from the Lord of Apes.
Hunter's Mark,I,I,Acquired,Allows Wielder to Mark an Enemy for Death Allies Deal Double Damage.,,One use per night.
Battle Analyzer,II,I,Ultra Rare (Purple),Small Visor Showing User Weak Points in Armor and Skin,,"One use per night. Further uses require >3 on a d6, or item will break. Martial Arts Specialists can use without checks."
Taunt,I,I,Rare (Green),Loud Taunt. Neener Neener.,10 Foot Radius,Taunt enemies in a 10 foot radius to attack only you. 
Mouth Harp,II,I,Common (Grey),Annoying Sound Amplifies Commands,,Wielder's Samurai commands double range.
 Acid of a Fallen Saint,I,I,Legendary (Golden),Life Altering Substance Once Ingested,,One time use alters character to experimental skill tree.
Waraji,II,I,Common (Grey),Sandals of a Shinobi,,Speed up can run up sides of trees and buildings.
Tenugui,III,I,Common (Grey),Piece of Cloth used to cover the face or climb.,,Can be used to swing between trees and cover the face of an unassuming individual.
Gappa II,III,I,Rare (Green),Armored Travel Cape.,+1 AP,Can be used to conceal movements in battle. 
Bansenshukai,II,I,Ultra Rare (Purple),Book of Tiger School Shinobi,,Teaches homing jump and death charge.
Soul Binder,III,I,Rare (Green),Bonds a Weapon Alteration to the PC,,Player keeps the weapon alteration or spell when they buy a new weapon.
Praying Heal,II,I,Common (Grey),Basic Healing Prayer.,+1 HP,Reusable heal giving a small amount of health to the caster or a nearby friend they can touch. 1 use per night or per boss killed.
